1, Blinding Lights, The Weeknd, Pop, 171, retro, upbeat, synth
46, Poker Face, Lady Gaga, Pop, 120, dance, catchy, upbeat
47, Mr. Brightside, The Killers, Rock, 148, upbeat, anthemic, alternative
48, Hotline Bling, Drake, Hip Hop, 135, mellow, catchy, chill
49, Viva La Vida, Coldplay, Alternative, 138, orchestral, anthemic, epic
50, Senorita, Shawn Mendes & Camila Cabello, Pop, 117, romantic, catchy, Latin
51, Smells Like Teen Spirit, Nirvana, Grunge, 117, grunge, rebellious, 90s
52, Lose Yourself, Eminem, Hip Hop, 171, intense, rap, motivational
53, Happy, Pharrell Williams, Pop, 160, cheerful, upbeat, feel-good
54, Rolling in the Deep, Adele, Pop, 105, powerful, emotional, breakup
55, Take Me to Church, Hozier, Indie Rock, 129, emotional, soulful, powerful
56, Heroes, David Bowie, Rock, 115, anthemic, epic, timeless
57, We Will Rock You, Queen, Rock, 81, stomping, sing-along, iconic
58, Titanium, David Guetta ft. Sia, EDM, 126, empowering, electronic, anthemic
59, I Gotta Feeling, The Black Eyed Peas, Pop, 128, party, feel-good, dance
60, Counting Stars, OneRepublic, Pop Rock, 122, upbeat, anthemic, acoustic
61, Old Town Road, Lil Nas X ft. Billy Ray Cyrus, Country Rap, 136, viral, catchy, country
62, Zombie, The Cranberries, Rock, 84, emotional, anthemic, alternative
63, Royals, Lorde, Indie Pop, 85, minimalist, catchy, introspective
64, Blurred Lines, Robin Thicke ft. Pharrell, R&B, 120, catchy, funky, controversial
65, Wake Me Up, Avicii, EDM, 124, anthemic, summer, electronic
66, Sweet Home Alabama, Lynyrd Skynyrd, Southern Rock, 98, classic, guitar, anthem
67, Brown Eyed Girl, Van Morrison, Rock, 120, nostalgic, upbeat, classic
68, Firework, Katy Perry, Pop, 124, empowering, anthemic, uplifting
69, Don't Start Now, Dua Lipa, Disco, 124, groovy, upbeat, catchy
70, Stay, The Kid LAROI & Justin Bieber, Pop, 170, catchy, emotional, pop
71, Let It Be, The Beatles, Pop Rock, 72, timeless, piano, classic
72, In the End, Linkin Park, Nu Metal, 105, emotional, angsty, rock
73, Hotline Bling, Drake, Hip Hop, 135, mellow, catchy, pop-rap
74, Somebody That I Used to Know, Gotye ft. Kimbra, Indie Pop, 129, breakup, emotional, indie
75, Eye of the Tiger, Survivor, Rock, 109, powerful, motivational, iconic
76, Royals, Lorde, Indie Pop, 85, minimalist, introspective, pop
77, Dreams, Fleetwood Mac, Rock, 120, classic, dreamy, iconic
78, Shake It Off, Taylor Swift, Pop, 160, fun, upbeat, dance
79, Riptide, Vance Joy, Indie Folk, 100, acoustic, catchy, summer
80, Can't Feel My Face, The Weeknd, Pop, 108, catchy, upbeat, funky
81, Levitating, Dua Lipa, Pop, 103, catchy, disco, fun
82, Watermelon Sugar, Harry Styles, Pop, 95, summer, upbeat, romantic
83, Bad Guy, Billie Eilish, Pop, 135, dark, bass-heavy, catchy
84, Yellow, Coldplay, Alternative, 174, dreamy, mellow, introspective
85, Dark Horse, Katy Perry ft. Juicy J, Pop, 133, catchy, bass-heavy, dark
86, Hotline Bling, Drake, Hip Hop, 135, mellow, catchy, pop-rap
87, Take On Me, A-ha, Synthpop, 169, retro, upbeat, iconic
88, Stayin' Alive, Bee Gees, Disco, 104, groovy, classic, dance
89, Rockstar, Post Malone ft. 21 Savage, Hip Hop, 160, dark, moody, trap
90, The Less I Know the Better, Tame Impala, Psychedelic Rock, 118, groovy, retro, bass-heavy
91, Sunflower, Post Malone & Swae Lee, Hip Hop, 90, chill, catchy, pop-rap
92, Heat Waves, Glass Animals, Indie Pop, 164, catchy, introspective, mellow
93, Sorry, Justin Bieber, Pop, 100, catchy, tropical, upbeat
94, Hotline Bling, Drake, Hip Hop, 135, mellow, catchy, pop-rap
95, Shallow, Lady Gaga & Bradley Cooper, Soundtrack, 96, emotional, powerful, ballad
96, Circles, Post Malone, Pop, 120, chill, catchy, introspective
97, Bad Habits, Ed Sheeran, Pop, 126, catchy, upbeat, dance
98, Save Your Tears, The Weeknd, Pop, 118, emotional, retro, catchy
99, Memories, Maroon 5, Pop, 91, nostalgic, mellow, emotional
100, Thriller, Michael Jackson, Pop, 118, iconic, spooky, dance
